country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","24-08-2026 11:00:00",25.592539,85.227158,SO2,12,13,13
India,Bihar,Patna,"Muradpur, Patna - BSPCB","24-08-2026 11:00:00",25.619651,85.147382,PM2.5,40,53,45
India,Bihar,Patna,"Muradpur, Patna - BSPCB","24-08-2026 11:00:00",25.619651,85.147382,OZONE,5,43,16
India,Bihar,Patna,"Samanpura, Patna - BSPCB","24-08-2026 11:00:00",25.596727,85.085624,PM2.5,25,239,90
India,Bihar,Patna,"Samanpura, Patna - BSPCB","24-08-2026 11:00:00",25.596727,85.085624,NH3,4,5,5
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","24-08-2026 11:00:00",25.366336,87.117468,PM2.5,10,48,28
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","24-08-2026 11:00:00",25.366336,87.117468,NO2,16,19,18
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","24-08-2026 11:00:00",25.366336,87.117468,CO,56,58,57
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","24-08-2026 11:00:00",25.366336,87.117468,OZONE,19,30,24
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","24-08-2026 11:00:00",25.892357,86.590325,OZONE,13,25,16
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","24-08-2026 11:00:00",25.859655,85.77944,NO2,8,9,8
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","24-08-2026 11:00:00",25.859655,85.77944,NH3,1,2,1
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","24-08-2026 11:00:00",24.952822,84.002396,NH3,3,5,3
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","24-08-2026 11:00:00",26.446912,91.439057,NH3,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","24-08-2026 11:00:00",26.446912,91.439057,OZONE,19,19,19
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","24-08-2026 11:00:00",26.987634,94.636574,NH3,2,9,4
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","24-08-2026 11:00:00",26.987634,94.636574,SO2,6,9,8
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","24-08-2026 11:00:00",25.5626095,84.663264,PM2.5,33,38,35
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","24-08-2026 11:00:00",25.5626095,84.663264,CO,48,54,51
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","24-08-2026 11:00:00",24.75746,84.366208,NH3,0,0,0
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","24-08-2026 11:00:00",25.42742023,86.13886079,PM2.5,33,85,46
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","24-08-2026 11:00:00",25.42742023,86.13886079,PM10,65,143,87
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","24-08-2026 11:00:00",25.42742023,86.13886079,OZONE,19,62,42
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","24-08-2026 11:00:00",26.80365,84.51954,PM2.5,21,26,23
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","24-08-2026 11:00:00",25.265194,87.012947,PM2.5,13,500,181
India,Bihar,Munger,"Town Hall, Munger - BSPCB","24-08-2026 11:00:00",25.376776,86.471523,PM2.5,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","24-08-2026 11:00:00",25.376776,86.471523,NH3,2,3,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-08-2026 11:00:00",26.11442,85.39813,PM10,34,56,45
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-08-2026 11:00:00",26.11442,85.39813,SO2,5,8,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-08-2026 11:00:00",26.11442,85.39813,CO,14,23,21
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","24-08-2026 11:00:00",26.11442,85.39813,OZONE,14,55,30
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","24-08-2026 11:00:00",26.1403345,85.3650192,NH3,1,1,1
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","24-08-2026 11:00:00",26.1403345,85.3650192,CO,17,20,18
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","24-08-2026 11:00:00",26.1403345,85.3650192,OZONE,15,24,17
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","24-08-2026 11:00:00",25.599486,85.113666,PM2.5,NA,NA,NA
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","24-08-2026 11:00:00",25.599486,85.113666,OZONE,28,28,28
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","24-08-2026 11:00:00",25.592539,85.227158,NH3,6,7,6
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","24-08-2026 11:00:00",16.554731,80.64911,PM10,52,71,57
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","24-08-2026 11:00:00",16.554731,80.64911,CO,10,11,11
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","24-08-2026 11:00:00",16.554731,80.64911,OZONE,21,22,22
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","24-08-2026 11:00:00",16.536107,80.594233,PM10,58,117,63
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-08-2026 11:00:00",16.509717,80.612222,PM2.5,33,68,46
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-08-2026 11:00:00",16.509717,80.612222,SO2,14,20,18
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-08-2026 11:00:00",17.72,83.3,NO2,44,90,60
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","24-08-2026 11:00:00",27.103358,93.679645,PM2.5,17,87,36
India,"Andhra Pradesh",Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","24-08-2026 11:00:00",13.20488,79.097889,PM2.5,71,81,75
India,"Andhra Pradesh",Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","24-08-2026 11:00:00",13.20488,79.097889,OZONE,29,31,30
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","24-08-2026 11:00:00",16.711754,81.092095,PM2.5,39,52,42
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","24-08-2026 11:00:00",16.711754,81.092095,CO,10,14,12
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","24-08-2026 11:00:00",16.711754,81.092095,OZONE,2,7,5
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","24-08-2026 11:00:00",16.316553,80.413302,NO2,18,49,29
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-08-2026 11:00:00",14.465052,78.824187,PM2.5,45,47,46
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-08-2026 11:00:00",14.465052,78.824187,NH3,2,2,2
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-08-2026 11:00:00",14.465052,78.824187,SO2,17,17,17
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","24-08-2026 11:00:00",14.465052,78.824187,OZONE,31,31,31
India,"Andhra Pradesh",Nellore,"Ambedkar Nagar, Nellore - APPCB ","24-08-2026 11:00:00",14.438164,79.966814,OZONE,20,22,21
India,"Andhra Pradesh",Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","24-08-2026 11:00:00",16.9872867,81.7363176,SO2,4,7,5
India,"Andhra Pradesh",Srikakulam,"Chinna Bharatham Colony, Srikakulam - APPCB","24-08-2026 11:00:00",18.292191,83.897173,NO2,14,58,29
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","24-08-2026 11:00:00",26.071318,91.87488,PM2.5,85,103,92
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","24-08-2026 11:00:00",26.1875,91.744194,PM2.5,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","24-08-2026 11:00:00",26.181742,91.78063,SO2,4,9,6
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","24-08-2026 11:00:00",26.181742,91.78063,OZONE,9,12,11
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","24-08-2026 11:00:00",26.349082,92.68449,CO,21,28,25
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","24-08-2026 11:00:00",26.349082,92.68449,OZONE,11,14,13
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","24-08-2026 11:00:00",25.265194,87.012947,OZONE,10,34,17
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","24-08-2026 11:00:00",25.251013,86.989001,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","24-08-2026 11:00:00",25.251013,86.989001,NH3,4,4,4
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","24-08-2026 11:00:00",25.7808257,84.7446768,NH3,1,2,2
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","24-08-2026 11:00:00",24.792403,84.992416,PM2.5,7,333,110
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","24-08-2026 11:00:00",24.792403,84.992416,OZONE,4,78,37
India,"Andhra Pradesh",Tirumala,"Toll Gate, Tirumala - APPCB","24-08-2026 11:00:00",13.67,79.35,SO2,4,8,6
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","24-08-2026 11:00:00",28.6811736,77.3025234,NO2,26,30,28
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","24-08-2026 11:00:00",28.6811736,77.3025234,NH3,4,5,5
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","24-08-2026 11:00:00",28.6811736,77.3025234,CO,14,22,18
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","24-08-2026 11:00:00",28.531346,77.190156,PM10,26,145,90
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","24-08-2026 11:00:00",28.531346,77.190156,NO2,13,33,20
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","24-08-2026 11:00:00",28.531346,77.190156,NH3,2,3,2
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","24-08-2026 11:00:00",28.531346,77.190156,CO,47,56,52
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","24-08-2026 11:00:00",28.531346,77.190156,OZONE,1,15,5
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","24-08-2026 11:00:00",28.56789,77.250515,PM2.5,3,223,80
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","24-08-2026 11:00:00",28.623763,77.287209,NO2,NA,NA,NA
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","24-08-2026 11:00:00",28.570173,76.933762,PM2.5,22,88,52
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","24-08-2026 11:00:00",28.570173,76.933762,NH3,6,9,7
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","24-08-2026 11:00:00",28.570173,76.933762,CO,10,50,28
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","24-08-2026 11:00:00",28.699793,77.165453,PM2.5,72,197,110
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","24-08-2026 11:00:00",28.699793,77.165453,NH3,3,6,4
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","24-08-2026 11:00:00",28.699793,77.165453,CO,56,56,56
